,id,x,y,shootZone,minute,period,footName,xg,types,shotOutcome,possession,player,shootZonePoint,oldShootZonePoint
447,1720804761,83,34,bc,44,1,right,0.0022220502,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack', 'Throw in']",S. Murombedzi,"{'top': '81%', 'left': '61%'}",
448,1720804820,79,37,obr,47,1,right,0.0020041096,"['action', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'shot_to_far_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack', 'Throw in']",C. Matwasa,"{'top': '85%', 'right': '-7.5%'}",
449,1720804924,74,31,obr,48,2,left,0.0206714775,"['action', 'left_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'shot_to_far_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack']",D. Newton,"{'top': '92%', 'right': '-7.5%'}",
450,1720805284,86,47,bc,68,2,head,0.0475150384,"['action', 'blocked_shot', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Corner', 'Opportunity', 'Shot', 'Set piece attack', 'Attack']",G. Carline,"{'top': '91%', 'left': '84%'}",
451,1720805336,77,57,bc,76,2,right,0.0020917333,"['action', 'any_free_kick', 'blocked_shot', 'direct_free_kick', 'free_kick', 'free_kick_shot', 'free_kick_with_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area']",blocked,"['Set piece attack', 'Free kick', 'Direct free kick', 'Pressed']",T. O'Sullivan,"{'top': '89%', 'left': '8%'}",
452,1720805524,75,52,obr,86,2,right,0.0082094409,"['action', 'received_pass', 'received_pass_in_final_third', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack']",G. Carline,"{'top': '91%', 'right': '-7.5%'}",
453,1720805647,76,39,bc,93,2,right,0.0350856334,"['action', 'blocked_shot', 'received_pass', 'received_pass_in_final_third', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Opportunity', 'Shot', 'Attack']",S. Murombedzi,"{'top': '49%', 'left': '50%'}",
454,1716346637,88,57,bc,3,1,left,0.0780984908,"['action', 'blocked_shot', 'highlight', 'left_foot_shot', 'opportunity', 'received_cross', 'received_pass', 'received_pass_in_final_third', 'shot', 'shot_from_box', 'shot_from_cross', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Opportunity', 'Shot', 'Attack', 'Throw in']",C. Wilson,"{'top': '53%', 'left': '82%'}",
455,1716346701,70,56,bc,10,1,right,0.000944633,"['action', 'any_free_kick', 'blocked_shot', 'direct_free_kick', 'free_kick', 'free_kick_shot', 'free_kick_with_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area']",blocked,"['Set piece attack', 'Free kick', 'Direct free kick', 'Pressed']",D. Whitehall,"{'top': '4%', 'left': '88%'}",
456,1716346726,88,56,ot,12,1,left,0.1676653475,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Opportunity', 'Shot', 'Set piece attack', 'Attack', 'Free kick', 'Smart pass inside opponent goal']",A. Beestin,"{'top': '-5%', 'left': '63%'}",
457,1716346812,79,26,gc,17,1,left,0.0117237754,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Throw in']",J. Butterfield,"{'top': '49%', 'left': '43%'}",
458,1716346836,74,26,otr,20,1,right,0.0049552172,"['action', 'received_pass', 'received_pass_in_final_third', 'received_pass_in_final_third_on_side', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_to_far_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack']",K. Scales,"{'top': '-5%', 'right': '3%'}",
459,1716346898,81,67,gr,26,1,left,0.0199701265,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'shot_to_near_corner', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Throw in']",C. Wilson,"{'top': '55%', 'left': '87%'}",
460,1716346906,78,29,gl,26,1,right,0.0178786796,"['action', 'any_goal', 'first_goal', 'goal', 'goal_after_corner', 'goal_from_outside_area', 'highlight', 'non_penalty_goal', 'opportunity', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_after_corner', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'shot_to_near_corner', 'touch_in_final_third']",goal,"['Corner', 'Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Goal']",D. Whitehall,"{'top': '59%', 'left': '17%'}",
461,1716346969,89,32,gb,33,1,right,0.1016437262,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",A. Beestin,"{'top': '92%', 'left': '53%'}",
462,1716347040,72,23,gtl,41,1,right,0.0348720998,"['action', 'any_free_kick', 'any_goal', 'direct_free_kick', 'free_kick', 'free_kick_goal', 'free_kick_shot', 'free_kick_with_shot', 'goal', 'goal_from_outside_area', 'highlight', 'non_penalty_goal', 'opportunity', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_on_goal', 'shot_to_near_corner']",goal,"['Opportunity', 'Set piece attack', 'Attack', 'Goal', 'Free kick', 'Direct free kick', 'Pressed']",D. Whitehall,"{'top': '6%', 'left': '19%'}",
