,id,x,y,shootZone,minute,period,footName,xg,types,shotOutcome,possession,player,shootZonePoint,oldShootZonePoint
305,1849634062,88,58,gc,91,2,head,0.0453120545,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",A. Asante,"{'top': '46%', 'left': '64%'}",
306,1849634138,82,48,bc,94,2,right,0.0037470541,"['action', 'blocked_shot', 'received_deep_completion', 'received_pass', 'received_pass_in_final_third', 'right_foot_shot', 'shot', 'shot_after_corner', 'shot_after_received_deep_completion', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Corner', 'Shot', 'Set piece attack', 'Attack']",J. Ngandu,"{'top': '3%', 'left': '69%'}",
307,1849634141,92,65,gr,94,2,head,0.0857544094,"['action', 'head_shot', 'heading', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'shot_to_near_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Shot', 'Shot on goal', 'Attack']",T. Lees,"{'top': '51%', 'left': '93%'}",
308,1847537347,76,30,otl,2,1,left,0.007065447,"['action', 'left_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_to_near_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Set piece attack', 'Attack', 'Free kick']",C. Salkeld,"{'top': '-5%', 'left': '8%'}",
309,1847537363,77,58,gt,3,1,left,0.0270710159,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Throw in']",W. Hatfield,"{'top': '7%', 'left': '43%'}",
310,1847537386,88,66,bc,6,1,right,0.1357637644,"['action', 'blocked_shot', 'highlight', 'opportunity', 'received_deep_completion', 'received_pass', 'received_pass_in_final_third', 'received_pass_in_final_third_on_side', 'received_progressive_pass', 'right_foot_shot', 'shot', 'shot_after_received_deep_completion', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Opportunity', 'Shot', 'Attack']",K. Griffiths,"{'top': '13%', 'left': '73%'}",
311,1847537403,76,45,otr,9,1,right,0.0507819168,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Opportunity', 'Shot', 'Set piece attack', 'Attack', 'Free kick']",W. Hatfield,"{'top': '-5%', 'right': '10%'}",
312,1847537452,92,53,gc,15,1,head,0.176013574,"['action', 'any_goal', 'first_goal', 'goal', 'goal_from_cross', 'head_goal', 'head_shot', 'heading', 'highlight', 'non_penalty_goal', 'opportunity', 'received_cross', 'received_dangerous_pass', 'received_pass', 'received_pass_in_final_third', 'received_progressive_pass', 'shot', 'shot_from_box', 'shot_from_cross', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Goal']",J. Rivers,"{'top': '62%', 'left': '51%'}",
313,1847537514,70,30,bc,20,1,left,0.0042348518,"['action', 'ball_entry_in_final_third', 'blocked_shot', 'left_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack', 'Throw in']",J. Sukar,"{'top': '30%', 'left': '71%'}",
314,1847537720,87,70,bc,29,1,right,0.030319741,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Shot', 'Attack']",C. Salkeld,"{'top': '54%', 'left': '10%'}",
315,1847537803,80,26,bc,36,1,right,0.008785597,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack']",W. Hatfield,"{'top': '82%', 'left': '86%'}",
316,1847538182,93,69,otl,52,2,right,0.078510344,"['action', 'highlight', 'opportunity', 'received_cross', 'received_pass', 'received_pass_in_final_third', 'received_pass_in_final_third_on_side', 'received_progressive_pass', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_cross', 'shot_from_penalty_area', 'shot_from_play', 'shot_to_far_corner', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Opportunity', 'Shot', 'Attack']",W. Hatfield,"{'top': '-5%', 'left': '9%'}",
317,1847538307,89,44,gr,60,2,right,0.3882963955,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'shot_to_far_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",J. Rivers,"{'top': '46%', 'left': '84%'}",
318,1844700349,86,39,bc,43,1,left,0.0305700023,"['action', 'blocked_shot', 'left_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Shot', 'Set piece attack', 'Attack', 'Free kick']",H. Lindley,"{'top': '38%', 'left': '89%'}",
319,1844700351,76,38,bc,43,1,right,0.0267296918,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack']",B. Hedley,"{'top': '35%', 'left': '9%'}",
320,1844700382,86,63,bc,48,1,right,0.0541916527,"['action', 'blocked_shot', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Opportunity', 'Shot', 'Set piece attack', 'Attack', 'Free kick']",J. Ngandu,"{'top': '16%', 'left': '18%'}",
321,1844327232,96,65,obr,27,1,right,0.118468307,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_after_free_kick', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_to_near_corner', 'shot_wide', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",wide,"['Opportunity', 'Shot', 'Set piece attack', 'Attack', 'Free kick', 'Free kick cross']",A. Nelson,"{'top': '83%', 'right': '-7.5%'}",
322,1844327433,95,60,gb,39,1,right,0.2475890666,"['action', 'any_goal', 'first_goal', 'goal', 'highlight', 'non_penalty_goal', 'opportunity', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Goal', 'Free kick']",C. Salkeld,"{'top': '86%', 'left': '56%'}",
